Months MM-YYYY;Hard Coal + Imported Coal;Lignite;Liquid Fuels;Naturl Gas +Lng;Renew and Wastes;THERMAL;HYDRO;GEOTHERMAL + WIND +SOLAR;GROSS GENERATION;IMPORTS;EXPORTS;GROSS DEMAND
1.04.2021;386.253.102.697;341.202.507.033;21.483.002.216;587.271.677.619.678;607.816.843.108;137.765.727.188.208;8.074.581.380.564;454.473.917.301.515;263.958.932.723.999;89.192.800.562;3.021.228.467;261.829.632.262.619
1.05.2021;392.190.325.228;340.135.896.675;19.450.332.976;715.838.735.873.881;636.305.005.958;151.374.049.167.028;581.869.463.743.285;454.334.888.541.529;25.499.448.439.551;213.238.035;3.330.062.101.175;253.796.802.644.335
1.06.2021;445.682.569.728;355.260.201.984;18.289.146.162;101.047.055.446.946;6.357.994.644.478;187.682.218.724.244;457.911.385.026.972;388.156.109.509.695;272.288.968.177.911;22.256.989.998.905;323.601.015.594;271.278.657.021.861
1.07.2021;523.508.954.443;357.809.738.287;18.421.970.027;112.235.735.640.728;6.592.151.821.695;207.143.976.435.693;506.521.121.621.204;548.645.591.254.475;312.660.647.723.261;115.380.561;4.584.471.871.485;309.229.981.461.776
1.08.2021;597.809.386.047;372.205.334.141;21.432.041.125;127.799.820.288.038;684.101.412.324;231.856.626.841.328;484.187.489.766.651;499.642.098.981.486;330.239.585.716.142;198.005.709;4.381.437.839.655;327.838.204.966.487
1.09.2021;465.512.091.702;377.954.902.137;19.498.257.537;11.020.530.647.033;682.826.180.734;20.157.525.023.694;288.138.621.511.055;51.095.495.585.601;281.484.607.973.646;226.026.012;47.275.580.522;279.017.310.041.446
1.10.2021;31.568.464.233.856;36.838.375.919.244;2.222.340.552;110.085.210.804.826;711.432.286.337;185.828.607.876.496;328.931.383.961.653;48.410.690.974.302;267.132.437.246.963;36.337.998;416.099.975;266.605.237.296.963
1.11.2021;58.968.522.858.176;39.131.815.788.124;34.670.062.826;893.860.687.632.983;708.168.703.525;194.914.795.073.108;312.513.010.239.017;442.428.497.825.647;270.408.945.879.575;297.197.325;35.553.874.647;269.825.531.664.875
1.12.2021;63.830.350.104.712;40.460.340.530.988;291.804.256;928.072.329.555.332;709.207.276.984;204.481.800.617.073;368.979.285.295.798;511.771.210.036.623;292.556.850.150.315;367.298.051;33.150.972.406;292.914.733.419.715
1.01.2022;646.058.826.152.807;410.592.630.130.437;6.057.726;733.275.465.968.343;723.363.643.681.665;192.284.054.661.975;473.816.418.267.407;473.839.819.368.428;287.049.678.425.559;47.168.761;42.531.665;287.513.388.025.559
